vehicle,stock,price,path
"1955 Ford Thunderbird","001633","26499","/cars/1955-ford-thunderbird/"
"1956 Chevrolet Bel Air","21725","23599","/cars/1956-chevrolet-bel-air/"
"1962 Chevrolet Impala","001600","31499","/cars/1962-chevrolet-impala/"
"1965 Chevrolet Corvette","21701","22899","/cars/1965-chevrolet-corvette/"
"1965 Ford Mustang","21748","18999","/cars/1965-ford-mustang/"
"1967 Ford Mustang","21715","23499","/cars/1967-ford-mustang/"
"1967 Pontiac Firebird","21727","25699","/cars/1967-pontiac-firebird/"
"1969 Chevrolet Camaro SS","001648","25999","/cars/1969-chevrolet-camaro-ss/"
"1969 Chevrolet Chevelle","21739","24699","/cars/1969-chevrolet-chevelle/"
"1969 Chevrolet Nova","001629","28999","/cars/1969-chevrolet-nova/"
"1969 Oldsmobile 442","001628","26499","/cars/1969-oldsmobile-442/"
"1972 Chevrolet Corvette","001622","28500","/cars/1972-chevrolet-corvette/"
"1973 Ford Mustang Mach 1","21752","21799","/cars/1973-ford-mustang-mach-1/"
"1974 Chevrolet Nova","21762","19999","/cars/1974-chevrolet-nova/"
"1976 Chevrolet Corvette","21707","16799","/cars/1976-chevrolet-corvette/"
"1979 Pontiac Firebird Trans Am","21704","22499","/cars/1979-pontiac-firebird-trans-am/"
